,match_id,team_id,possession_full_match,shots_on,shots_on_first_half,shots_on_second_half,goals,goals_first_half,goals_second_half
575,2079,9825,61,6,1,5,1,0,1
576,2082,8668,35,3,1,2,4,1,3
577,2082,10261,65,9,4,5,0,0,0
578,2084,8655,39,4,2,2,1,1,0
579,2084,10260,61,8,6,2,0,0,0
580,2085,8659,51,6,1,5,1,1,0
581,2085,9879,49,5,4,1,0,0,0
582,2086,10194,43,3,3,0,2,1,1
583,2086,8462,57,11,3,8,1,0,1
584,2087,8528,55,11,3,8,2,1,1
585,2087,8549,45,2,1,1,0,0,0
586,2088,8455,49,15,9,6,7,4,3
587,2088,10252,51,2,2,0,1,0,1
588,2089,10260,78,10,6,4,2,1,1
589,2089,8659,22,2,1,1,0,0,0
590,2090,9825,61,11,4,7,2,1,1
591,2090,8668,39,4,3,1,0,0,0
592,2091,8650,60,8,4,4,1,1,0
593,2091,8528,40,3,2,1,0,0,0
594,2092,8462,42,3,3,0,1,1,0
595,2092,10252,58,6,1,5,1,1,0
596,2093,8455,60,8,4,4,1,1,0
597,2093,8549,40,4,1,3,4,0,4
598,2094,8456,60,10,4,6,3,2,1
599,2094,10261,40,2,1,1,2,1,1
600,2095,8472,51,7,3,4,2,1,1
601,2095,9879,49,10,5,5,1,0,1
602,2096,8559,53,5,2,3,1,0,1
603,2096,8655,47,1,0,1,0,0,0
604,2097,8667,46,3,2,1,1,0,1
605,2097,8654,54,7,5,2,1,0,1
606,2098,10194,46,3,1,2,2,0,2
607,2098,8586,54,5,5,0,0,0,0
608,2099,10261,44,6,5,1,3,1,2
609,2099,8472,56,3,2,1,2,0,2
610,2101,9825,61,10,3,7,4,2,2
611,2101,8654,39,6,2,4,0,0,0
612,2102,8668,57,10,6,4,3,1,2
613,2102,10260,43,10,8,2,1,0,1
614,2103,8456,57,8,1,7,3,1,2
615,2103,10194,43,6,3,3,1,1,0
616,2104,8655,52,2,2,0,1,1,0
617,2104,8549,48,1,0,1,1,0,1
618,2105,8667,53,6,3,3,2,1,1
619,2105,8659,47,14,6,8,0,0,0
620,2106,8462,54,11,7,4,5,2,3
621,2106,9879,46,5,2,3,0,0,0
622,2107,10252,54,4,2,2,1,0,1
