,match_id,team_id,possession_only_second_half,shots_on,shots_on_first_half,shots_on_second_half,goals,goals_first_half,goals_second_half
533,2067,8668,56,7,3,4,3,0,3
534,2068,10260,53,8,4,4,2,2,0
535,2068,8455,47,16,7,9,3,1,2
536,2069,8559,23,5,3,2,5,1,4
537,2069,10260,77,19,12,7,0,0,0
538,2070,9825,71,12,4,8,3,1,2
539,2070,8667,29,3,0,3,1,1,0
540,2072,8650,53,8,2,6,1,0,1
541,2072,8668,47,2,1,1,0,0,0
542,2074,8655,45,6,5,1,2,0,2
543,2074,10261,55,1,0,1,0,0,0
544,2077,8455,61,13,6,7,3,1,2
545,2077,10194,39,6,1,5,1,1,0
546,2078,8456,49,8,2,6,2,1,1
547,2078,8528,51,4,1,3,1,1,0
548,2081,8654,45,5,2,3,1,0,1
549,2081,8559,55,6,3,3,1,0,1
550,2082,8668,16,3,1,2,1,1,0
551,2082,10261,84,9,4,5,1,0,1
552,2083,8650,45,6,3,3,3,1,2
553,2083,8456,55,2,2,0,0,0,0
554,2084,8655,39,4,2,2,1,0,1
555,2084,10260,61,8,6,2,1,0,1
556,2085,8659,59,6,1,5,3,0,3
557,2085,9879,41,5,4,1,0,0,0
558,2086,10194,41,3,3,0,2,1,1
559,2086,8462,59,11,3,8,1,0,1
560,2087,8528,55,11,3,8,1,1,0
561,2087,8549,45,2,1,1,0,0,0
562,2088,8455,49,15,9,6,1,1,0
563,2088,10252,51,2,2,0,0,0,0
564,2089,10260,79,10,6,4,2,1,1
565,2089,8659,21,2,1,1,1,0,1
566,2090,9825,69,11,4,7,2,1,1
567,2090,8668,31,4,3,1,0,0,0
568,2091,8650,69,8,4,4,7,4,3
569,2091,8528,31,3,2,1,1,0,1
570,2092,8462,40,3,3,0,2,1,1
571,2092,10252,60,6,1,5,0,0,0
572,2093,8455,60,8,4,4,2,1,1
573,2093,8549,40,4,1,3,0,0,0
574,2094,8456,55,10,4,6,1,1,0
575,2094,10261,45,2,1,1,0,0,0
576,2095,8472,61,7,3,4,1,1,0
577,2095,9879,39,10,5,5,0,0,0
578,2096,8559,59,5,2,3,1,1,0
579,2096,8655,41,1,0,1,1,1,0
580,2097,8667,40,3,2,1,1,1,0
581,2097,8654,60,7,5,2,3,1,2
582,2098,10194,49,3,1,2,1,1,0
583,2098,8586,51,5,5,0,4,0,4
584,2099,10261,37,6,5,1,3,2,1
585,2099,8472,63,3,2,1,2,1,1
586,2101,9825,56,10,3,7,2,1,1
587,2101,8654,44,6,2,4,1,0,1
588,2102,8668,73,10,6,4,2,2,0
589,2102,10260,27,10,8,2,2,0,2
590,2103,8456,60,8,1,7,1,0,1
591,2103,10194,40,6,3,3,1,0,1
592,2104,8655,51,2,2,0,2,0,2
593,2104,8549,49,1,0,1,0,0,0
594,2105,8667,54,6,3,3,4,2,2
595,2105,8659,46,14,6,8,0,0,0
596,2106,8462,55,11,7,4,3,1,2
597,2106,9879,45,5,2,3,1,0,1
598,2108,8455,85,6,5,1,3,1,2
599,2108,8650,15,2,1,1,1,1,0
600,2109,10260,57,18,11,7,1,1,0
601,2109,8658,43,3,1,2,1,0,1
602,2110,8586,57,9,3,6,2,1,1
603,2110,8650,43,3,0,3,0,0,0
604,2111,10252,38,4,4,0,5,2,3
605,2111,8528,62,8,4,4,0,0,0
606,2112,9825,60,4,2,2,1,0,1
607,2112,8668,40,5,1,4,0,0,0
608,2113,8654,44,9,6,3,3,2,1
609,2113,8602,56,10,2,8,0,0,0
610,2114,8655,46,8,7,1,2,2,0
611,2114,8456,54,3,1,2,2,0,2
612,2115,8559,43,4,3,1,2,2,0
613,2115,8472,57,9,5,4,2,1,1
614,2116,9879,46,3,2,1,1,1,0
615,2116,8462,54,4,3,1,1,1,0
616,2117,8191,47,10,4,6,3,2,1
617,2117,10194,53,4,2,2,2,1,1
618,2119,8528,52,5,5,0,2,1,1
619,2119,8191,48,8,3,5,1,0,1
620,2120,8455,72,14,8,6,2,1,1
621,2120,8655,28,4,2,2,1,0,1
